"batch","source_file","kind","row_count","unique_query_count"
"1","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (1).csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (2).csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1808_20260802-1808.csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (1).csv","rising","32","32"
"1","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809 (2).csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1809_20260802-1809.csv","rising","50","50"
"1","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (1).csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811 (2).csv","rising","39","39"
"2","searched_with_rising-searches_Worldwide_20250802-1811_20260802-1811.csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","rising","46","46"
"2","searched_with_rising-searches_Worldwide_20250802-1812_20260802-1812.csv","rising","50","50"
"2","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","rising","50","50"
"3","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","rising","50","50"
"3","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","rising","50","50"
"3","searched_with_rising-searches_Worldwide_20250802-1814_20260802-1814.csv","rising","50","50"
"3","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","rising","41","41"
"3","searched_with_rising-searches_Worldwide_20250802-1815_20260802-1815.csv","rising","19","19"
"3","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (1).csv","rising","6","6"
"3","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (2).csv","rising","1","1"
"3","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","rising","50","50"
"4","searched_with_rising-searches_Worldwide_20250802-1816_20260802-1816.csv","rising","47","47"
"4","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","rising","50","50"
"4","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","rising","50","50"
"4","searched_with_rising-searches_Worldwide_20250802-1817_20260802-1817.csv","rising","50","50"
"4","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (1).csv","top","50","50"
"4","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (2).csv","top","50","50"
"4","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808 (3).csv","top","50","50"
"4","searched_with_top-searches_Worldwide_20250802-1808_20260802-1808.csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (1).csv","top","32","32"
"5","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809 (2).csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1809_20260802-1809.csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1811_20260802-1811.csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (1).csv","top","39","39"
"5","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (2).csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (3).csv","top","50","50"
"5","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (4).csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (5).csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812 (6).csv","top","46","46"
"6","searched_with_top-searches_Worldwide_20250802-1812_20260802-1812.csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (1).csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (2).csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814 (3).csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1814_20260802-1814.csv","top","50","50"
"6","searched_with_top-searches_Worldwide_20250802-1815_20260802-1815 (1).csv","top","41","41"
"7","searched_with_top-searches_Worldwide_20250802-1815_20260802-1815.csv","top","19","19"
"7","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (1).csv","top","6","6"
"7","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (2).csv","top","1","1"
"7","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816 (3).csv","top","50","50"
"7","searched_with_top-searches_Worldwide_20250802-1816_20260802-1816.csv","top","47","47"
"7","searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (1).csv","top","50","50"
"7","searched_with_top-searches_Worldwide_20250802-1817_20260802-1817 (2).csv","top","50","50"
"7","searched_with_top-searches_Worldwide_20250802-1817_20260802-1817.csv","top","50","50"
