"Time","web scrape","page scrape","html scrape","export pdf","export pptx","export presentation"
"2025-08-03",1,0,0,32,1,2
"2025-08-10",1,0,0,65,2,4
"2025-08-17",1,0,0,61,2,3
"2025-08-24",1,0,0,48,1,2
"2025-08-31",1,0,0,51,1,3
"2025-09-07",1,0,0,53,2,3
"2025-09-14",1,0,0,51,2,3
"2025-09-21",1,0,0,54,1,3
"2025-09-28",1,0,0,61,1,2
"2025-10-05",1,0,0,58,2,3
"2025-10-12",1,0,0,66,2,3
"2025-10-19",1,0,0,56,2,3
"2025-10-26",1,0,0,50,2,3
"2025-11-02",1,0,0,65,2,3
"2025-11-09",1,0,0,71,2,3
"2025-11-16",1,0,0,83,2,3
"2025-11-23",1,1,0,97,2,3
"2025-11-30",1,1,0,100,2,4
"2025-12-07",1,0,0,55,1,3
"2025-12-14",1,0,0,61,1,3
"2025-12-21",0,0,0,33,1,1
"2025-12-28",1,0,0,31,1,2
"2026-01-04",1,0,0,39,1,2
"2026-01-11",1,0,0,50,1,2
"2026-01-18",1,0,0,56,1,3
"2026-01-25",1,1,0,60,1,3
"2026-02-01",1,0,0,62,1,3
"2026-02-08",1,0,0,53,1,3
"2026-02-15",1,0,0,66,1,3
"2026-02-22",1,1,0,68,1,3
"2026-03-01",1,1,0,69,2,3
"2026-03-08",1,1,0,74,1,3
"2026-03-15",1,1,0,81,1,3
"2026-03-22",1,1,0,88,1,3
"2026-03-29",1,1,0,99,1,4
"2026-04-05",1,1,0,96,1,4
"2026-04-12",1,1,0,89,1,3
"2026-04-19",1,1,0,79,2,4
"2026-04-26",1,1,0,68,2,4
"2026-05-03",1,1,0,69,2,5
"2026-05-10",1,1,0,84,2,5
"2026-05-17",1,1,0,81,2,5
"2026-05-24",1,1,0,87,2,5
"2026-05-31",1,1,0,98,2,6
"2026-06-07",1,1,0,87,2,5
"2026-06-14",1,1,1,84,2,5
"2026-06-21",1,1,0,85,2,5
"2026-06-28",1,1,0,77,2,4
"2026-07-05",1,1,0,61,2,4
"2026-07-12",0,0,0,49,1,2
"2026-07-19",0,0,0,31,0,1
"2026-07-26",0,0,0,29,0,1
