"Time","web scrape","to presentation","to pptx","export pdf","export pptx","export presentation"
"2025-08-03",0,48,5,19,0,1
"2025-08-10",0,71,6,39,1,2
"2025-08-17",0,68,6,37,1,2
"2025-08-24",0,55,6,29,1,1
"2025-08-31",0,64,7,31,1,2
"2025-09-07",0,70,8,32,1,2
"2025-09-14",0,66,9,30,1,2
"2025-09-21",0,64,8,33,1,2
"2025-09-28",0,65,7,37,1,1
"2025-10-05",0,55,8,35,1,2
"2025-10-12",0,60,8,40,1,2
"2025-10-19",0,61,9,34,1,2
"2025-10-26",0,56,8,30,1,2
"2025-11-02",0,61,9,39,1,2
"2025-11-09",0,63,8,43,1,2
"2025-11-16",0,65,10,50,1,2
"2025-11-23",0,66,9,58,1,2
"2025-11-30",1,83,9,60,1,2
"2025-12-07",1,66,9,33,1,2
"2025-12-14",0,52,8,37,1,2
"2025-12-21",0,27,5,20,0,1
"2025-12-28",0,27,4,19,0,1
"2026-01-04",0,43,6,23,1,1
"2026-01-11",0,49,8,30,1,1
"2026-01-18",0,55,9,34,1,2
"2026-01-25",0,64,8,36,1,2
"2026-02-01",0,67,7,37,1,2
"2026-02-08",0,64,7,32,1,2
"2026-02-15",0,80,7,40,1,2
"2026-02-22",0,78,8,41,1,2
"2026-03-01",0,70,7,42,1,2
"2026-03-08",0,64,7,45,1,2
"2026-03-15",0,65,7,49,1,2
"2026-03-22",0,69,7,53,1,2
"2026-03-29",0,71,8,60,1,2
"2026-04-05",0,72,8,58,1,2
"2026-04-12",1,72,8,54,1,2
"2026-04-19",0,79,8,48,1,2
"2026-04-26",1,85,8,41,1,2
"2026-05-03",0,96,8,42,1,3
"2026-05-10",0,99,9,51,1,3
"2026-05-17",0,69,8,49,1,3
"2026-05-24",1,77,7,53,1,3
"2026-05-31",1,79,9,59,1,3
"2026-06-07",1,90,8,52,1,3
"2026-06-14",1,100,8,51,1,3
"2026-06-21",0,82,7,52,1,3
"2026-06-28",0,64,6,46,1,3
"2026-07-05",0,69,6,37,1,2
"2026-07-12",0,48,5,29,0,1
"2026-07-19",0,80,4,19,0,1
"2026-07-26",0,64,4,17,0,1
