"Time","to pdf","to presentation","to pptx","export pdf","export pptx","export presentation","ai to"
"2025-08-03",46,2,0,1,0,0,32
"2025-08-10",60,2,0,1,0,0,47
"2025-08-17",62,2,0,1,0,0,43
"2025-08-24",56,2,0,1,0,0,35
"2025-08-31",57,2,0,1,0,0,37
"2025-09-07",59,2,0,1,0,0,37
"2025-09-14",60,2,0,1,0,0,37
"2025-09-21",59,2,0,1,0,0,44
"2025-09-28",56,2,0,1,0,0,42
"2025-10-05",57,2,0,1,0,0,37
"2025-10-12",52,2,0,1,0,0,37
"2025-10-19",47,2,0,1,0,0,37
"2025-10-26",49,2,0,1,0,0,35
"2025-11-02",53,2,0,1,0,0,35
"2025-11-09",54,2,0,1,0,0,36
"2025-11-16",59,2,0,2,0,0,37
"2025-11-23",71,2,0,2,0,0,40
"2025-11-30",75,3,0,2,0,0,48
"2025-12-07",63,2,0,1,0,0,43
"2025-12-14",59,2,0,1,0,0,39
"2025-12-21",43,1,0,1,0,0,30
"2025-12-28",41,1,0,1,0,0,30
"2026-01-04",48,1,0,1,0,0,32
"2026-01-11",52,2,0,1,0,0,33
"2026-01-18",62,2,0,1,0,0,34
"2026-01-25",63,2,0,1,0,0,37
"2026-02-01",66,2,0,1,0,0,36
"2026-02-08",65,2,0,1,0,0,34
"2026-02-15",79,3,0,1,0,0,38
"2026-02-22",75,3,0,1,0,0,43
"2026-03-01",63,2,0,1,0,0,47
"2026-03-08",68,2,0,1,0,0,42
"2026-03-15",65,2,0,2,0,0,41
"2026-03-22",75,2,0,2,0,0,43
"2026-03-29",90,2,0,2,0,0,44
"2026-04-05",98,2,0,2,0,0,41
"2026-04-12",86,2,0,2,0,0,43
"2026-04-19",78,3,0,2,0,0,40
"2026-04-26",76,3,0,1,0,0,51
"2026-05-03",84,3,0,1,0,0,60
"2026-05-10",90,3,0,2,0,0,59
"2026-05-17",81,2,0,2,0,0,45
"2026-05-24",87,3,0,2,0,0,49
"2026-05-31",100,3,0,2,0,0,51
"2026-06-07",91,3,0,2,0,0,46
"2026-06-14",91,3,0,2,0,0,51
"2026-06-21",87,3,0,2,0,0,52
"2026-06-28",80,2,0,2,0,0,41
"2026-07-05",74,2,0,1,0,0,41
"2026-07-12",65,2,0,1,0,0,28
"2026-07-19",55,3,0,1,0,0,24
"2026-07-26",59,2,0,1,0,0,24
