"Time","export ai chat","export chat","export gpt","export ai","ai chat","web to pptx","presentation"
"2025-08-03",0,1,0,3,23,0,26
"2025-08-10",0,1,0,6,24,0,33
"2025-08-17",0,1,0,5,24,0,31
"2025-08-24",0,1,0,4,23,0,28
"2025-08-31",0,1,0,4,23,0,31
"2025-09-07",0,1,0,4,24,0,33
"2025-09-14",0,1,0,4,25,0,32
"2025-09-21",0,1,0,5,26,0,33
"2025-09-28",0,1,0,5,25,0,36
"2025-10-05",0,1,0,6,24,0,31
"2025-10-12",0,1,0,6,24,0,34
"2025-10-19",0,1,0,5,24,0,30
"2025-10-26",0,1,0,4,23,0,30
"2025-11-02",0,1,0,5,24,0,32
"2025-11-09",0,1,0,5,22,0,33
"2025-11-16",0,1,0,6,24,0,33
"2025-11-23",0,1,0,5,20,0,31
"2025-11-30",0,1,0,6,22,0,36
"2025-12-07",0,1,0,5,22,0,30
"2025-12-14",0,1,0,4,21,0,26
"2025-12-21",0,1,0,3,18,0,16
"2025-12-28",0,1,0,3,17,0,15
"2026-01-04",0,1,0,4,20,0,23
"2026-01-11",0,1,0,4,20,0,27
"2026-01-18",0,1,0,4,20,0,29
"2026-01-25",0,1,0,4,21,0,31
"2026-02-01",0,1,0,4,21,0,35
"2026-02-08",0,1,0,4,21,0,33
"2026-02-15",0,1,0,4,20,0,41
"2026-02-22",0,1,0,5,22,0,36
"2026-03-01",0,1,0,6,22,0,31
"2026-03-08",0,1,0,6,24,0,33
"2026-03-15",0,1,0,6,23,0,32
"2026-03-22",0,1,0,5,24,0,34
"2026-03-29",0,1,0,5,24,0,34
"2026-04-05",0,1,0,5,23,0,35
"2026-04-12",0,1,0,5,23,0,36
"2026-04-19",0,1,0,6,25,0,37
"2026-04-26",0,1,0,6,25,0,36
"2026-05-03",0,1,0,6,26,0,43
"2026-05-10",0,1,0,7,26,0,41
"2026-05-17",0,1,0,7,25,0,35
"2026-05-24",0,2,0,8,25,0,35
"2026-05-31",0,1,0,8,26,0,39
"2026-06-07",0,1,0,8,25,0,43
"2026-06-14",0,1,0,8,24,0,45
"2026-06-21",0,1,0,8,24,0,38
"2026-06-28",0,1,0,8,24,0,33
"2026-07-05",0,1,0,6,23,0,36
"2026-07-12",0,1,0,3,22,0,29
"2026-07-19",0,1,0,2,21,0,100
"2026-07-26",0,1,0,2,21,0,64
