"Time","page to file","page 2 file","web to file","web to pdf","page to pdf","web to pptx","page to pptx"
"2025-08-03",6,1,6,47,20,0,0
"2025-08-10",9,1,8,53,45,0,0
"2025-08-17",8,1,8,57,46,0,0
"2025-08-24",8,1,7,52,35,0,0
"2025-08-31",7,1,7,53,38,0,0
"2025-09-07",7,1,7,54,37,0,0
"2025-09-14",8,1,7,54,36,0,0
"2025-09-21",7,1,8,55,37,0,0
"2025-09-28",7,1,7,48,36,0,0
"2025-10-05",7,1,7,51,34,0,0
"2025-10-12",8,1,7,50,37,0,0
"2025-10-19",8,1,6,42,36,0,0
"2025-10-26",8,1,7,46,39,0,0
"2025-11-02",11,3,7,48,59,0,0
"2025-11-09",11,2,7,50,65,0,0
"2025-11-16",9,2,7,53,62,0,0
"2025-11-23",11,2,8,65,95,0,0
"2025-11-30",13,2,10,71,100,0,0
"2025-12-07",9,2,8,61,53,0,0
"2025-12-14",10,2,8,61,57,0,0
"2025-12-21",6,1,6,48,25,0,0
"2025-12-28",6,1,6,41,23,0,0
"2026-01-04",7,1,7,48,27,0,0
"2026-01-11",8,1,7,51,39,0,0
"2026-01-18",9,1,8,53,46,0,0
"2026-01-25",11,2,8,56,54,0,0
"2026-02-01",9,2,8,57,48,0,0
"2026-02-08",9,2,8,53,40,0,0
"2026-02-15",9,2,9,55,50,0,0
"2026-02-22",10,2,8,62,49,0,0
"2026-03-01",9,2,8,53,46,0,0
"2026-03-08",9,2,8,56,47,0,0
"2026-03-15",9,2,8,50,53,0,0
"2026-03-22",9,2,10,62,58,0,0
"2026-03-29",12,3,9,67,68,0,0
"2026-04-05",11,2,9,72,67,0,0
"2026-04-12",9,2,8,67,51,0,0
"2026-04-19",8,2,8,65,52,0,0
"2026-04-26",11,2,10,58,52,0,0
"2026-05-03",11,2,12,65,65,0,0
"2026-05-10",12,2,12,67,66,0,0
"2026-05-17",10,2,8,65,55,0,0
"2026-05-24",12,2,10,64,56,0,0
"2026-05-31",13,3,10,72,66,0,0
"2026-06-07",12,2,10,71,52,0,0
"2026-06-14",13,3,11,70,56,0,0
"2026-06-21",12,2,8,61,54,0,0
"2026-06-28",9,3,8,60,55,0,0
"2026-07-05",9,2,7,58,42,0,0
"2026-07-12",6,1,5,49,29,0,0
"2026-07-19",4,1,4,45,20,0,0
"2026-07-26",5,1,5,45,21,0,0
