"query","search interest","increase percent"
"whatsapp web",100,"-30 %"
"web whatsapp",98,"-30 %"
"word to pdf",57,"-30 %"
"word",55,"-30 %"
"pdf to word",55,"-30 %"
"jpg to pdf",37,"-30 %"
"pdf to jpg",36,"-30 %"
"pdf converter",28,"-20 %"
"pdf to pdf converter",26,"-20 %"
"convert to pdf",17,"-30 %"
"pdf to word converter",14,"-30 %"
"pdf to excel",14,"-20 %"
"excel to pdf",14,"-20 %"
"whatsapp download",14,"140 %"
"word to pdf converter",14,"-30 %"
"whatsapp login",10,"-10 %"
"whatsapp image to pdf",9,"-6 %"
"image to pdf",9,"-5 %"
"pdf to image",9,"-10 %"
"pdf convert to word",8,"-30 %"
"convert word to pdf",8,"-30 %"
"convert pdf to word",8,"-30 %"
"word convert to pdf",8,"-30 %"
"love pdf",8,"-4 %"
"whatsapp app",8,"250 %"
"love to pdf",7,"-8 %"
"whatsapp web login",7,"-30 %"
"i love pdf",6,"-20 %"
"jpg to pdf converter",6,"-20 %"
"pdf to jpg converter",5,"-30 %"
"pdf convert to jpg",4,"-20 %"
"convert pdf to jpg",4,"-20 %"
"jpg convert to pdf",4,"-30 %"
"convert jpg to pdf",4,"-20 %"
"jpg to pdf convert",4,"-30 %"
"pdf to jpg convert",4,"-30 %"
"love pdf to word",4,"-10 %"
"photo to pdf",4,"40 %"
"i love pdf pdf to word",4,"-10 %"
"pdf to word i love pdf",3,"-20 %"
"i love word to pdf",3,"-10 %"
"excel to pdf converter",3,"-20 %"
"i love pdf word to pdf",3,"-10 %"
"i love pdf to word",3,"-10 %"
"compress pdf",3,"-10 %"
"pdf to excel converter",3,"-20 %"
"pdf merge",3,"-7 %"
"pdf to pdf merge",3,"-10 %"
"merge pdf",3,"-30 %"
"pdf to jpeg",3,"-30 %"
