"query","search interest","increase percent"
"docs",100,"400 %"
"linkedin",63,"250 %"
"ai news",57,"1 250 %"
"link",42,"90 %"
"china export news",41,"900 %"
"wikipedia",31,"950 %"
"notion",23,"-30 %"
"ai news today",21,"2 450 %"
"apple news",20,"1 150 %"
"google docs",18,"30 %"
"openai news",17,"700 %"
"claude",17,"550 %"
"figma",16,"-50 %"
"nvidia news",15,"550 %"
"chatgpt news",12,"500 %"
"github news",11,"1 150 %"
"technology news",11,"850 %"
"business news today",11,"2 250 %"
"tiktok news",10,"550 %"
"health news today",10,"Breakout"
"new york times",9,"900 %"
"google ai news",9,"Breakout"
"bitcoin price",9,"550 %"
"google drive",9,"70 %"
"apple news today",8,"Breakout"
"openai news today",8,"1 600 %"
"onenote",8,"-60 %"
"crypto news",7,"550 %"
"travel news today",7,"Breakout"
"semiconductor news",7,"Breakout"
"bitcoin news",7,"500 %"
"ai updates",6,"1 200 %"
"nvidia news today",6,"Breakout"
"openai status page",5,"350 %"
"adobe news",5,"Breakout"
"export elementor page",5,"-80 %"
"tesla news",5,"400 %"
"technology news today",5,"Breakout"
"pdf to png",5,"-30 %"
"what is a landing page",5,"200 %"
"aws news",5,"Breakout"
"anthropic news",5,"Breakout"
"tiktok news today",4,"Breakout"
"shopify news",4,"600 %"
"how to export bookmarks chrome",4,"170 %"
"science news today",4,"Breakout"
"notion news",4,"600 %"
"irs news",4,"Breakout"
"walmart near me",4,"Breakout"
"meta news today",4,"500 %"
