"Time","whatsapp","telegram","wa","export whatsapp","export chat","chat to pdf","whatsapp to pdf","google slides"
"2025-08-10",87,14,13,0,0,0,1,1
"2025-08-17",90,15,13,0,0,0,1,1
"2025-08-24",94,14,14,0,0,0,1,1
"2025-08-31",98,13,14,0,0,0,1,1
"2025-09-07",97,13,13,0,0,0,1,1
"2025-09-14",94,13,13,0,0,0,1,1
"2025-09-21",95,13,14,0,0,0,1,1
"2025-09-28",90,13,14,0,0,0,1,1
"2025-10-05",95,13,14,0,0,0,1,1
"2025-10-12",94,13,14,0,0,0,1,1
"2025-10-19",85,13,13,0,0,0,0,1
"2025-10-26",89,13,13,0,0,0,1,1
"2025-11-02",91,13,13,0,0,0,1,1
"2025-11-09",94,12,14,0,0,0,1,1
"2025-11-16",90,12,14,0,0,0,1,1
"2025-11-23",89,12,13,0,0,0,1,1
"2025-11-30",85,13,14,0,0,0,1,1
"2025-12-07",90,13,14,0,0,0,1,1
"2025-12-14",90,12,14,0,0,0,1,1
"2025-12-21",75,13,12,0,0,0,0,0
"2025-12-28",72,12,12,0,0,0,0,0
"2026-01-04",82,12,13,0,0,0,1,1
"2026-01-11",78,12,13,0,0,0,0,1
"2026-01-18",84,11,14,0,0,0,1,1
"2026-01-25",86,12,14,0,0,0,1,1
"2026-02-01",86,12,14,0,0,0,1,1
"2026-02-08",87,11,14,0,0,0,1,1
"2026-02-15",75,11,12,0,0,0,1,1
"2026-02-22",86,11,14,0,0,0,1,1
"2026-03-01",86,12,15,0,0,0,1,1
"2026-03-08",92,12,14,0,0,0,1,1
"2026-03-15",83,11,12,0,0,0,1,1
"2026-03-22",80,12,12,0,0,0,1,1
"2026-03-29",80,12,14,0,0,0,1,1
"2026-04-05",92,12,14,0,0,0,1,1
"2026-04-12",90,12,15,0,0,0,1,1
"2026-04-19",86,11,15,0,0,0,1,1
"2026-04-26",86,11,16,0,0,0,1,1
"2026-05-03",87,11,16,0,0,0,1,1
"2026-05-10",97,11,16,0,0,0,1,1
"2026-05-17",100,12,15,0,0,0,1,1
"2026-05-24",89,11,14,0,0,0,1,1
"2026-05-31",92,11,15,0,0,0,1,1
"2026-06-07",100,11,16,0,0,0,1,1
"2026-06-14",91,13,15,0,0,0,1,1
"2026-06-21",89,12,15,0,0,0,1,0
"2026-06-28",91,10,14,0,0,0,1,0
"2026-07-05",87,11,15,0,0,0,1,0
"2026-07-12",88,11,14,0,0,0,1,0
"2026-07-19",90,10,15,0,0,0,1,0
"2026-07-26",88,10,15,0,0,0,1,0
"2026-08-02",95,10,16,0,0,0,1,0
"2026-08-09",83,10,14,0,0,0,1,0
