"query","search interest","increase percent"
"ai",100,"20 %"
"claude ai",98,"20 %"
"ai claude",93,"10 %"
"claude code",69,"250 %"
"claude anthropic",27,"300 %"
"anthropic",27,"300 %"
"anthropic claude",25,"300 %"
"claude price",15,"300 %"
"what is claude",14,"160 %"
"claude pro",12,"180 %"
"claude free",12,"120 %"
"claude api",11,"60 %"
"claude app",10,"200 %"
"claude pricing",10,"200 %"
"github",10,"200 %"
"claude opus",8,"250 %"
"vs code",8,"250 %"
"docs",8,"800 %"
"claude sonnet",7,"-20 %"
"claude chat",7,"20 %"
"claude design",7,"600 %"
"claude agent",7,"350 %"
"claude mcp",6,"50 %"
"claude skills",6,"3 550 %"
"open claude",6,"190 %"
"claude code price",6,"500 %"
"claude desktop",6,"130 %"
"gemini ai",5,"50 %"
"claude download",5,"190 %"
"jean claude",5,"-80 %"
"download claude",5,"190 %"
"claude usage",5,"350 %"
"claude ai free",5,"110 %"
"openai",5,"130 %"
"claude cli",5,"250 %"
"codex",5,"1 400 %"
"claude max",5,"160 %"
"claude cowork",5,"Breakout"
"ia",5,"30 %"
"claude ia",5,"30 %"
"ia claude",5,"20 %"
"claude code github",5,"350 %"
"google ai",5,"40 %"
"claude code docs",4,"2 550 %"
"claude status",4,"350 %"
"claude login",4,"80 %"
"cursor",4,"2 %"
"copilot",4,"40 %"
"what is claude ai",4,"60 %"
"claude subscription",3,"400 %"
