"Time","ai to pdf","excel to pdf","powerpoint to pdf","ppt to pdf","pptx to pdf","save as pdf","what is pdf","doc to pdf"
"2025-08-10",22,11,1,2,0,1,26,2
"2025-08-17",21,12,1,2,0,1,22,2
"2025-08-24",15,13,1,2,0,1,18,2
"2025-08-31",16,14,1,3,1,1,20,2
"2025-09-07",15,13,1,3,1,1,17,2
"2025-09-14",15,12,1,3,1,1,14,2
"2025-09-21",18,13,1,3,1,1,12,2
"2025-09-28",18,11,1,3,1,1,11,2
"2025-10-05",15,12,1,3,1,1,10,2
"2025-10-12",15,11,1,3,1,1,10,2
"2025-10-19",15,9,1,3,1,1,14,2
"2025-10-26",13,11,1,4,1,1,13,2
"2025-11-02",16,12,1,3,1,1,14,2
"2025-11-09",16,11,1,3,1,1,15,2
"2025-11-16",16,11,1,3,1,1,15,2
"2025-11-23",24,12,1,3,1,1,58,2
"2025-11-30",28,13,2,3,1,2,100,3
"2025-12-07",23,12,1,3,1,1,72,2
"2025-12-14",21,11,1,3,1,1,56,2
"2025-12-21",13,9,1,2,1,1,31,1
"2025-12-28",12,9,1,2,0,1,30,1
"2026-01-04",14,11,1,2,1,1,36,2
"2026-01-11",15,10,1,2,1,2,43,2
"2026-01-18",17,10,1,3,1,2,52,2
"2026-01-25",18,10,1,3,1,2,66,2
"2026-02-01",17,11,1,3,1,3,79,2
"2026-02-08",15,10,1,3,1,4,62,2
"2026-02-15",19,11,1,2,1,5,77,2
"2026-02-22",22,11,1,3,1,4,78,2
"2026-03-01",24,11,1,2,1,2,54,2
"2026-03-08",26,11,1,3,1,2,49,2
"2026-03-15",26,10,1,2,1,2,50,2
"2026-03-22",27,11,1,4,1,2,48,2
"2026-03-29",29,13,1,4,1,2,62,3
"2026-04-05",28,15,2,7,1,2,73,3
"2026-04-12",27,13,2,7,1,2,61,4
"2026-04-19",25,12,2,5,1,2,52,3
"2026-04-26",22,12,2,5,1,2,62,3
"2026-05-03",26,13,2,6,1,2,67,4
"2026-05-10",28,13,2,6,1,2,71,4
"2026-05-17",23,14,2,7,1,2,50,4
"2026-05-24",24,13,2,7,1,2,51,4
"2026-05-31",27,17,2,10,1,2,63,6
"2026-06-07",23,14,2,8,1,2,56,4
"2026-06-14",24,13,2,7,1,3,68,4
"2026-06-21",22,14,2,7,1,3,61,4
"2026-06-28",22,14,1,7,1,2,43,4
"2026-07-05",18,13,1,7,0,2,39,4
"2026-07-12",13,13,1,5,0,2,30,3
"2026-07-19",15,12,1,4,0,2,44,3
"2026-07-26",11,13,1,4,0,3,41,3
"2026-08-02",5,12,1,4,0,3,25,3
"2026-08-09",4,10,1,4,0,2,20,3
